CDT		ID		PT		WT		TID
0:19		27		0:6		0:5		7
0:19		12		0:3		0:10		4
0:22		31		0:10		0:3		7
1:0		7		0:2		0:8		0
1:2		26		0:6		0:2		7
1:3		8		0:2		0:11		0
1:4		10		0:3		0:2		4
1:7		1		0:0		0:5		7
1:8		3		0:0		0:7		0
1:9		11		0:3		0:7		4
1:13		2		0:0		0:5		0
1:14		19		0:5		1:1		5
1:19		15		0:4		0:19		1
1:19		71		1:9		0:2		8
1:22		22		0:6		1:10		6
1:23		17		0:4		1:8		2
1:23		13		0:4		0:12		5
2:0		9		0:3		0:14		1
2:2		28		0:7		0:20		8
2:3		21		0:5		1:7		6
2:3		23		0:6		1:13		4
2:4		14		0:4		0:16		1
2:4		18		0:5		0:17		5
2:7		25		0:6		0:11		8
2:7		20		0:5		1:4		6
2:10		16		0:4		1:2		1
2:11		49		1:1		0:7		8
2:12		33		0:11		1:9		3
2:13		76		1:15		0:0		9
2:14		36		0:12		1:20		0
2:17		35		0:12		1:11		3
2:18		55		1:5		0:13		9
2:20		30		0:10		1:5		3
2:22		70		1:9		0:16		9
2:23		89		2:3		0:12		10
3:0		32		0:11		1:6		3
3:0		37		0:12		1:23		7
3:1		38		0:12		2:5		2
3:2		77		1:15		0:6		9
3:3		88		2:2		0:7		10
3:6		40		0:13		2:7		8
3:6		93		2:10		0:2		10
3:9		98		2:16		0:1		10
3:13		41		0:13		2:10		0
3:16		99		2:18		0:7		1
3:17		122		3:2		0:6		5
3:19		42		0:13		2:19		3
3:19		83		1:22		0:23		1
3:21		123		3:3		0:7		5
3:22		106		2:22		0:8		1
3:23		43		0:13		2:23		2
4:1		44		0:17		2:23		0
4:4		75		1:11		1:22		1
4:4		121		3:2		0:3		5
4:7		46		0:21		2:23		7
4:13		138		3:18		0:0		9
4:13		124		3:3		0:11		6
4:16		48		1:0		3:10		3
4:17		125		3:4		0:15		6
4:19		87		2:1		1:13		9
4:20		47		0:23		3:0		10
4:20		126		3:6		0:16		6
4:21		50		1:2		3:11		1
4:22		129		3:8		1:8		4
4:23		92		2:8		1:20		9
5:2		52		1:3		3:13		2
5:2		128		3:7		1:5		4
5:3		97		2:12		1:17		9
5:5		53		1:3		3:17		0
5:5		130		3:8		1:11		5
5:9		127		3:7		0:23		4
5:13		141		3:19		1:10		6
5:14		54		1:3		4:2		7
5:15		56		1:5		4:4		3
5:15		153		4:10		0:0		8
5:21		142		3:19		1:18		4
5:22		73		1:10		3:7		8
6:1		57		1:5		4:7		1
6:1		58		1:5		4:13		0
6:2		143		3:19		1:21		5
6:4		85		2:1		3:0		8
6:9		152		4:9		0:4		8
6:10		59		1:5		4:16		2
6:13		144		3:19		2:1		6
6:15		60		1:8		4:22		3
6:15		170		5:9		0:5		9
6:17		61		1:8		5:1		10
6:18		158		5:1		0:10		9
7:1		90		2:6		3:11		9
7:2		63		1:8		5:10		2
7:2		62		1:8		5:6		0
7:7		95		2:12		3:13		9
7:11		64		1:8		5:14		1
7:11		145		3:19		3:2		4
7:15		146		4:1		3:5		5
7:17		65		1:8		5:23		8
7:19		100		2:18		3:17		7
7:23		80		1:19		5:20		2
7:23		79		1:18		5:17		3
7:23		147		4:6		3:3		6
8:0		66		1:8		6:3		9
8:1		155		4:11		2:17		7
8:2		6		0:2		7:16		9
8:3		81		1:20		5:23		0
8:3		148		4:7		3:9		4
8:3		149		4:7		3:14		5
8:5		68		1:9		6:4		9
8:6		111		3:0		3:17		7
8:10		51		1:2		6:5		7
8:11		103		2:19		5:4		1
8:12		134		3:12		4:3		9
8:16		105		2:21		5:11		8
9:1		150		4:8		4:9		6
9:2		107		2:22		5:19		2
9:3		108		2:22		5:23		3
9:6		69		1:9		6:12		10
9:11		74		1:10		6:21		10
9:12		132		3:10		5:19		1
9:16		86		2:1		6:11		10
9:17		133		3:11		5:21		0
9:20		135		3:14		5:22		3
9:21		91		2:7		6:10		10
9:21		115		3:1		6:8		7
10:0		136		3:17		5:23		2
10:3		96		2:12		6:11		7
10:5		156		4:12		5:8		9
10:7		118		3:1		6:11		7
10:10		112		3:0		6:14		7
10:14		157		4:13		5:16		1
10:15		72		1:10		8:15		8
10:20		159		5:1		5:7		0
10:20		161		5:1		5:11		2
10:21		113		3:0		6:20		8
11:1		162		5:1		5:15		3
11:2		163		5:2		5:18		7
11:3		4		0:1		10:5		8
11:6		82		1:21		8:14		10
11:8		5		0:2		9:15		8
11:9		117		3:1		7:13		10
11:12		137		3:17		7:0		10
11:15		114		3:1		7:19		10
11:18		164		5:3		5:20		9
11:19		168		5:7		6:0		0
11:23		165		5:4		6:1		0
12:3		167		5:6		6:4		0
12:7		104		2:20		8:16		0
12:18		116		3:1		8:15		2
12:21		166		5:5		6:14		2
13:3		67		1:9		10:17		2
13:8		109		2:23		9:9		2
13:19		119		3:1		9:13		8
14:0		139		3:18		9:11		8
14:4		154		4:10		8:19		8
14:8		169		5:8		7:23		8
14:14		24		0:6		13:9		7
14:19		151		4:8		9:20		7
15:2		84		1:23		11:12		7
15:6		94		2:12		11:1		7
----------------------------------------------------------
----------------------------------------------------------
Cargos: 158 [N: 56, S: 30, V:72]
Cargo Avg Wait = 3:17
Auto-promoted Cargos: 19.6078%
Trucks: 11 [N: 4, S: 3, V:4]
Avg Active Time = 34.7052%
Avg Utilization =19.1834%
